lumen,CCT
238.582,4684
251.774,4710
250.187,4941
233.797,5454
240.64,5181
244.106,5103
238.182,5240
243.629,5037
240.117,5584
241.78,5789
224.425,6166
234.743,6012
235.603,6060
227.266,6587
215.135,6690
222.155,6788
206.197,6877
215.768,6982
214.659,7671
200,7978
219.988,7996
214.672,7017
216.591,7298
224.843,7201
221.294,7484
223.003,7694
214.754,8601
214.262,8614
215.54,9503
205.931,9964
210.095,9924
204.914,11238
201.602,10399
210.74,10351
205.218,10544
182.598,12276
192.525,10606
192.793,12645
192.133,14002
200.32,11858
201.165,11464
205.781,11585
203.859,11080
200.483,11402
205.962,11757
